epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
824,7037393,7037493,7037593,62735000000,62524444419,1.2931E+20,8.175E+19,4.75605E+19,4.75605E+19,1.25431E+20,TRUE
825,7037495,7037595,7037695,62524444419,62593969367,7.53097E+19,2.2959E+19,5.23507E+19,2.2959E+19,7.30504E+19,TRUE
826,7037598,7037698,7037798,62593969367,62787621623,7.37728E+19,4.20415E+19,3.17313E+19,4.20415E+19,7.15596E+19,TRUE
827,7037701,7037801,7037901,62787621623,62748627409,5.91427E+19,3.66749E+19,2.24679E+19,2.24679E+19,5.73684E+19,TRUE
828,7037803,7037903,7038003,62748627409,62798292638,6.90175E+19,2.60374E+19,4.29801E+19,2.60374E+19,6.6947E+19,TRUE
829,7037906,7038006,7038106,62798292638,62573026031,5.50886E+19,2.71041E+19,2.79845E+19,2.79845E+19,5.34359E+19,TRUE
830,7038009,7038109,7038209,62573026031,62537276155,8.14914E+19,2.2749E+19,5.87424E+19,5.87424E+19,7.90467E+19,TRUE
831,7038111,7038211,7038311,62537276155,62571208899,6.23484E+19,2.39488E+19,3.83996E+19,2.39488E+19,6.0478E+19,TRUE
832,7038214,7038314,7038414,62571208899,62623275662,7.77559E+19,4.43723E+19,3.33836E+19,4.43723E+19,7.54232E+19,TRUE
833,7038316,7038416,7038516,62623275662,62660000000,6.89473E+19,3.92901E+19,2.96572E+19,3.92901E+19,6.68789E+19,TRUE
834,7038419,7038519,7038619,62660000000,62742585003,7.31367E+19,4.0977E+19,3.21597E+19,4.0977E+19,7.09426E+19,TRUE
835,7038522,7038622,7038722,62742585003,62976664169,8.39977E+19,5.45019E+19,2.94958E+19,5.45019E+19,8.14778E+19,TRUE
836,7038625,7038725,7038825,62976664169,63050898318,7.5769E+19,4.27334E+19,3.30356E+19,4.27334E+19,7.34959E+19,TRUE
837,7038728,7038828,7038928,63050898318,62896908878,7.80302E+19,2.7458E+19,5.05722E+19,5.05722E+19,7.56893E+19,TRUE
838,7038831,7038931,7039031,62896908878,62872000000,1.12419E+20,5.82616E+19,5.41577E+19,5.41577E+19,1.09047E+20,TRUE
839,7038933,7039033,7039133,62872000000,62920762936,6.83195E+19,4.70937E+19,2.12259E+19,4.70937E+19,6.627E+19,TRUE
840,7039036,7039136,7039236,62920762936,62734160775,5.7459E+19,2.6683E+19,3.0776E+19,3.0776E+19,5.57352E+19,TRUE
