epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
1732,7180841,7180941,7181041,64366716847,64332000000,3.85E+19,2.18E+19,1.67E+19,1.67E+19,3.73E+19,TRUE
1733,7180944,7181044,7181144,64332000000,0,4.85E+19,2.81E+19,2.05E+19,0,0,FALSE
1734,7181047,7181147,7181247,0,0,5.61E+19,1.38E+19,4.23E+19,0,0,FALSE
1735,7182209,7182309,7182409,64327534328,64242942976,1.42E+19,5.09E+18,9.09E+18,9.09E+18,1.38E+19,TRUE
1736,7182313,7182413,7182513,64242942976,64459000000,2.54E+19,1.61E+19,9.29E+18,1.61E+19,2.46E+19,TRUE
1737,7182417,7182517,7182617,64459000000,64401000000,4.46E+19,2.68E+19,1.78E+19,1.78E+19,4.32E+19,TRUE
1738,7182521,7182621,7182721,64401000000,64362000000,3.49E+19,9.86E+18,2.51E+19,2.51E+19,3.39E+19,TRUE
1739,7182625,7182725,7182825,64362000000,64420837440,4.02E+19,1.18E+19,2.84E+19,1.18E+19,3.90E+19,TRUE
1740,7182728,7182828,7182928,64420837440,64425000000,4.40E+19,3.19E+19,1.21E+19,3.19E+19,4.27E+19,TRUE
1741,7182832,7182932,7183032,64425000000,64428416312,5.10E+19,1.54E+19,3.56E+19,1.54E+19,4.95E+19,TRUE
1742,7182936,7183036,7183136,64428416312,64554495578,4.48E+19,2.98E+19,1.50E+19,2.98E+19,4.35E+19,TRUE
1743,7183039,7183139,7183239,64554495578,64608816064,4.98E+19,3.28E+19,1.70E+19,3.28E+19,4.83E+19,TRUE
1744,7183142,7183242,7183342,64608816064,64696860416,3.93E+19,2.13E+19,1.80E+19,2.13E+19,3.81E+19,TRUE
1745,7183246,7183346,7183446,64696860416,64917722239,5.72E+19,2.90E+19,2.83E+19,2.90E+19,5.55E+19,TRUE
1746,7183350,7183450,7183550,64917722239,64993653983,6.33E+19,3.83E+19,2.51E+19,3.83E+19,6.14E+19,TRUE
1747,7183453,7183553,7183653,64993653983,65038000000,6.14E+19,2.59E+19,3.55E+19,2.59E+19,5.95E+19,TRUE
1748,7183557,7183657,7183757,65038000000,64980000000,4.40E+19,2.06E+19,2.33E+19,2.33E+19,4.27E+19,TRUE
1749,7183661,7183761,7183861,64980000000,64944095529,3.92E+19,2.30E+19,1.62E+19,1.62E+19,3.80E+19,TRUE
1750,7183765,7183865,7183965,64944095529,64934000000,4.31E+19,2.25E+19,2.06E+19,2.06E+19,4.18E+19,TRUE
1751,7183868,7183968,7184068,64934000000,65133274443,4.36E+19,1.89E+19,2.48E+19,1.89E+19,4.23E+19,TRUE
1752,7183972,7184072,7184172,65133274443,65061904127,7.58E+19,5.67E+19,1.91E+19,1.91E+19,7.35E+19,TRUE
1753,7184076,7184176,7184276,65061904127,65045000000,6.03E+19,2.83E+19,3.21E+19,3.21E+19,5.85E+19,TRUE
1754,7184179,7184279,7184379,65045000000,65084450547,4.63E+19,2.19E+19,2.44E+19,2.19E+19,4.49E+19,TRUE
1755,7184282,7184382,7184482,65084450547,64957703034,4.80E+19,3.55E+19,1.25E+19,1.25E+19,4.66E+19,TRUE
1756,7184385,7184485,7184585,64957703034,64892625474,7.18E+19,1.76E+19,5.42E+19,5.42E+19,6.97E+19,TRUE
1757,7184488,7184588,7184688,64892625474,64884000000,2.98E+19,1.43E+19,1.55E+19,1.55E+19,2.89E+19,TRUE
1758,7184591,7184691,7184791,64884000000,64861000000,5.70E+19,2.59E+19,3.10E+19,3.10E+19,5.53E+19,TRUE
1759,7184694,7184794,7184894,64861000000,64971621497,3.01E+19,5.51E+18,2.45E+19,5.51E+18,2.92E+19,TRUE
1760,7184797,7184897,7184997,64971621497,64918714866,5.70E+19,4.15E+19,1.55E+19,1.55E+19,5.53E+19,TRUE
1761,7184900,7185000,7185100,64918714866,64956000000,6.09E+19,1.26E+19,4.83E+19,1.26E+19,5.91E+19,TRUE
1762,7185003,7185103,7185203,64956000000,64945000000,3.65E+19,1.29E+19,2.36E+19,2.36E+19,3.54E+19,TRUE
1763,7185107,7185207,7185307,64945000000,64950000000,5.56E+19,2.36E+19,3.20E+19,2.36E+19,5.40E+19,TRUE
1764,7185210,7185310,7185410,64950000000,64854000000,3.24E+19,1.29E+19,1.94E+19,1.94E+19,3.14E+19,TRUE
1765,7185313,7185413,7185513,64854000000,64840574432,9.39E+19,2.09E+19,7.29E+19,7.29E+19,9.11E+19,TRUE
1766,7185417,7185517,7185617,64840574432,64711444068,3.84E+19,1.48E+19,2.36E+19,2.36E+19,3.73E+19,TRUE
1767,7185520,7185620,7185720,64711444068,64655000000,7.14E+19,2.82E+19,4.32E+19,4.32E+19,6.93E+19,TRUE
1768,7185624,7185724,7185824,64655000000,64562406115,7.09E+19,2.60E+19,4.49E+19,4.49E+19,6.88E+19,TRUE
1769,7185727,7185827,7185927,64562406115,64624617725,9.66E+19,2.16E+19,7.50E+19,2.16E+19,9.37E+19,TRUE
1770,7185829,7185929,7186029,64624617725,64688000000,5.99E+19,4.24E+19,1.75E+19,4.24E+19,5.81E+19,TRUE
1771,7185934,7186034,7186134,64688000000,64638550916,7.03E+19,2.86E+19,4.17E+19,4.17E+19,6.82E+19,TRUE
1772,7186037,7186137,7186237,64638550916,64665075965,4.01E+19,1.55E+19,2.46E+19,1.55E+19,3.89E+19,TRUE
1773,7186140,7186240,7186340,64665075965,64674031523,4.53E+19,2.42E+19,2.11E+19,2.42E+19,4.40E+19,TRUE
1774,7186243,7186343,7186443,64674031523,64581506537,6.71E+19,2.43E+19,4.27E+19,4.27E+19,6.51E+19,TRUE
1775,7186346,7186446,7186546,64581506537,64365891013,5.98E+19,3.38E+19,2.60E+19,2.60E+19,5.80E+19,TRUE
1776,7186450,7186550,7186650,64365891013,64403471125,7.20E+19,2.87E+19,4.33E+19,2.87E+19,6.99E+19,TRUE
1777,7186553,7186653,7186753,64403471125,64379166716,2.79E+19,1.64E+19,1.16E+19,1.16E+19,2.71E+19,TRUE
1778,7186656,7186756,7186856,64379166716,64326222577,4.83E+19,2.03E+19,2.79E+19,2.79E+19,4.68E+19,TRUE
1779,7186759,7186859,7186959,64326222577,64366028448,4.10E+19,2.23E+19,1.87E+19,2.23E+19,3.97E+19,TRUE
1780,7186862,7186962,7187062,64366028448,64242734623,4.27E+19,2.00E+19,2.26E+19,2.26E+19,4.14E+19,TRUE
1781,7186965,7187065,7187165,64242734623,64339091235,5.25E+19,2.80E+19,2.44E+19,2.80E+19,5.09E+19,TRUE
1782,7187069,7187169,7187269,64339091235,64316045342,6.75E+19,3.76E+19,2.99E+19,2.99E+19,6.54E+19,TRUE
1783,7187173,7187273,7187373,64316045342,64301000000,4.70E+19,2.36E+19,2.34E+19,2.34E+19,4.56E+19,TRUE
1784,7187275,7187375,7187475,64301000000,64414000000,8.14E+19,4.67E+19,3.47E+19,4.67E+19,7.90E+19,TRUE
1785,7187378,7187478,7187578,64414000000,64269712223,8.18E+19,5.44E+19,2.75E+19,2.75E+19,7.94E+19,TRUE
1786,7187481,7187581,7187681,64269712223,64304840458,5.73E+19,3.66E+19,2.07E+19,3.66E+19,5.55E+19,TRUE
1787,7187584,7187684,7187784,64304840458,64185254373,6.48E+19,3.89E+19,2.60E+19,2.60E+19,6.29E+19,TRUE
1788,7187687,7187787,7187887,64185254373,64255000000,8.46E+19,4.23E+19,4.23E+19,4.23E+19,8.20E+19,TRUE
1789,7187790,7187890,7187990,64255000000,64177193609,3.77E+19,1.68E+19,2.08E+19,2.08E+19,3.66E+19,TRUE
1790,7187894,7187994,7188094,64177193609,64374000000,5.78E+19,2.14E+19,3.65E+19,2.14E+19,5.61E+19,TRUE
1791,7187997,7188097,7188197,64374000000,64320000000,6.57E+19,4.51E+19,2.07E+19,2.07E+19,6.38E+19,TRUE
1792,7188100,7188200,7188300,64320000000,64338000000,5.02E+19,2.46E+19,2.56E+19,2.46E+19,4.87E+19,TRUE
1793,7188203,7188303,7188403,64338000000,64301773747,5.79E+19,2.23E+19,3.56E+19,3.56E+19,5.62E+19,TRUE
1794,7188306,7188406,7188506,64301773747,64251865444,5.35E+19,2.90E+19,2.44E+19,2.44E+19,5.19E+19,TRUE
1795,7188409,7188509,7188609,64251865444,64191000000,4.31E+19,2.31E+19,2.00E+19,2.00E+19,4.18E+19,TRUE
1796,7188512,7188612,7188712,64191000000,64070000000,6.58E+19,3.92E+19,2.66E+19,2.66E+19,6.38E+19,TRUE
1797,7188616,7188716,7188816,64070000000,63990212782,7.90E+19,3.49E+19,4.41E+19,4.41E+19,7.66E+19,TRUE
1798,7188719,7188819,7188919,63990212782,64061229059,7.71E+19,4.97E+19,2.74E+19,4.97E+19,7.48E+19,TRUE
1799,7188822,7188922,7189022,64061229059,64086182960,5.46E+19,3.04E+19,2.42E+19,3.04E+19,5.30E+19,TRUE
1800,7188925,7189025,7189125,64086182960,64190421200,6.05E+19,3.87E+19,2.18E+19,3.87E+19,5.86E+19,TRUE
1801,7189029,7189129,7189229,64190421200,64271222847,6.70E+19,4.87E+19,1.84E+19,4.87E+19,6.50E+19,TRUE
1802,7189132,7189232,7189332,64271222847,64151849041,6.61E+19,2.64E+19,3.97E+19,3.97E+19,6.41E+19,TRUE
1803,7189235,7189335,7189435,64151849041,64127000000,1.00E+20,4.19E+19,5.83E+19,5.83E+19,9.72E+19,TRUE
1804,7189338,7189438,7189538,64127000000,64220000000,6.07E+19,2.83E+19,3.23E+19,2.83E+19,5.89E+19,TRUE
1805,7189442,7189542,7189642,64220000000,64079746457,5.61E+19,2.50E+19,3.10E+19,3.10E+19,5.44E+19,TRUE
1806,7189545,7189645,7189745,64079746457,64033000000,8.60E+19,3.23E+19,5.37E+19,5.37E+19,8.34E+19,TRUE
1807,7189648,7189748,7189848,64033000000,64137000000,4.54E+19,3.10E+19,1.44E+19,3.10E+19,4.41E+19,TRUE
1808,7189752,7189852,7189952,64137000000,63933000000,7.43E+19,4.27E+19,3.16E+19,3.16E+19,7.21E+19,TRUE
1809,7189856,7189956,7190056,63933000000,63920690042,5.65E+19,2.44E+19,3.20E+19,3.20E+19,5.48E+19,TRUE
1810,7189960,7190060,7190160,63920690042,63957000000,7.36E+19,3.09E+19,4.27E+19,3.09E+19,7.14E+19,TRUE
1811,7190063,7190163,7190263,63957000000,63767000000,5.67E+19,3.04E+19,2.64E+19,2.64E+19,5.50E+19,TRUE
